Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,88.04,88.1,87.98,88.07,7568555
1/5/2021 16:00:00,88.02,88.04,87.82,87.92,6452656
1/6/2021 16:00:00,87.61,87.61,87.34,87.53,5933655
1/7/2021 16:00:00,87.36,87.42,87.33,87.35,6196080
1/8/2021 16:00:00,87.39,87.39,87.17,87.27,7688783
1/11/2021 16:00:00,87.25,87.25,87.1,87.18,5404507
1/12/2021 16:00:00,87.09,87.16,86.94,87.16,6078880
1/13/2021 16:00:00,87.27,87.51,87.22,87.39,7357080
1/14/2021 16:00:00,87.4,87.5,87.21,87.28,7192030
1/15/2021 16:00:00,87.34,87.43,87.28,87.35,4083599
1/19/2021 16:00:00,87.37,87.48,87.3,87.47,7636580
1/20/2021 16:00:00,87.42,87.5,87.4,87.46,5889570
1/21/2021 16:00:00,87.33,87.4,87.27,87.34,7890792
1/22/2021 16:00:00,87.41,87.42,87.31,87.38,4440018
1/25/2021 16:00:00,87.49,87.59,87.45,87.58,5126885
1/26/2021 16:00:00,87.54,87.62,87.5,87.57,4608758
1/27/2021 16:00:00,87.63,87.7,87.56,87.57,4248658
1/28/2021 16:00:00,87.56,87.57,87.41,87.5,4359294
1/29/2021 16:00:00,87.29,87.48,87.29,87.43,6088409
2/1/2021 16:00:00,87.24,87.37,87.23,87.32,5774701
2/2/2021 16:00:00,87.21,87.24,87.17,87.21,4554746
2/3/2021 16:00:00,87.15,87.17,87.06,87.06,4271707
2/4/2021 16:00:00,87.05,87.11,86.94,87.08,4652251
2/5/2021 16:00:00,87.08,87.13,86.95,86.96,4401374
2/8/2021 16:00:00,86.97,87.12,86.94,87.06,5571452
2/9/2021 16:00:00,87.06,87.14,87.01,87.02,4474192
2/10/2021 16:00:00,87.12,87.16,87.07,87.16,3735655
2/11/2021 16:00:00,87.16,87.19,87.02,87.07,4578403
2/12/2021 16:00:00,86.93,86.97,86.81,86.84,4825493
2/16/2021 16:00:00,86.57,86.59,86.41,86.43,6702261
