Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,156.67,158.18,156.54,157.54,13152865
1/5/2021 16:00:00,156.95,156.95,155.66,156.37,10458065
1/6/2021 16:00:00,153.82,153.85,152.29,153.16,22827290
1/7/2021 16:00:00,151.79,152.17,151.26,151.81,14651882
1/8/2021 16:00:00,151.48,151.96,150.66,151.32,13622819
1/11/2021 16:00:00,151,151.21,150.49,151.07,8380898
1/12/2021 16:00:00,150.79,151.16,149.93,150.95,12186305
1/13/2021 16:00:00,151.66,153.07,151.57,152.65,12533256
1/14/2021 16:00:00,152.58,152.64,150.79,151.22,14835458
1/15/2021 16:00:00,152.19,152.36,151.47,151.82,11624672
1/19/2021 16:00:00,151.62,152.36,151.51,152.31,9575571
1/20/2021 16:00:00,151.99,152.48,151.79,152.46,5368933
1/21/2021 16:00:00,151.44,151.75,151.1,151.39,8164729
1/22/2021 16:00:00,151.85,152.01,151.42,151.88,9507150
1/25/2021 16:00:00,152.76,153.69,152.64,153.67,8712616
1/26/2021 16:00:00,153.1,153.6,152.92,153.38,7690318
1/27/2021 16:00:00,154.07,154.5,153.53,153.77,7895249
1/28/2021 16:00:00,153.4,153.46,152.16,152.92,10667755
1/29/2021 16:00:00,151.42,152.49,151.3,152,14966238
2/1/2021 16:00:00,151.66,152.36,151.49,152,8165534
2/2/2021 16:00:00,150.74,151.09,150.52,151.02,9177457
2/3/2021 16:00:00,150.43,150.59,149.58,149.68,9633084
2/4/2021 16:00:00,149.16,149.49,148.8,149.28,8262613
2/5/2021 16:00:00,149.1,149.57,148.02,148.03,10258935
2/8/2021 16:00:00,148.3,149.26,148.04,148.68,11574766
2/9/2021 16:00:00,149.22,149.67,148.66,148.79,5218341
2/10/2021 16:00:00,149.28,149.78,149.14,149.78,8079802
2/11/2021 16:00:00,149.68,149.79,148.75,148.96,11962758
2/12/2021 16:00:00,147.7,148.08,147.03,147.11,14088379
2/16/2021 16:00:00,145.22,145.66,144.66,144.87,17789087
2/17/2021 16:00:00,145.95,146.38,144.98,145.79,11203329
2/18/2021 16:00:00,144.61,145.6,144.32,145.2,10755817
2/19/2021 16:00:00,144.06,144.32,142.85,143.27,12741726
2/22/2021 16:00:00,143.03,143.74,141.72,142.18,13203873
2/23/2021 16:00:00,141.52,142.5,141.14,141.77,12658455
2/24/2021 16:00:00,139.35,141.18,139.16,140.84,17363058
2/25/2021 16:00:00,139.52,139.92,136.61,138.54,52621705
2/26/2021 16:00:00,140.77,143.3,139.68,143.12,45423326
3/1/2021 16:00:00,140.66,141.41,140.09,141.06,22050428
3/2/2021 16:00:00,140.4,141.13,140.29,141.07,12482218
3/3/2021 16:00:00,139.38,140.15,138.76,139.54,19763736
3/4/2021 16:00:00,139.63,139.94,137.96,138.64,22366564
3/5/2021 16:00:00,138.17,139.34,137.99,138.91,20598039
3/8/2021 16:00:00,138.83,138.9,137.83,137.83,15236619
3/9/2021 16:00:00,139.27,139.82,138.97,139.74,14463394
3/10/2021 16:00:00,139.8,140.15,139.28,140.02,12387639
3/11/2021 16:00:00,139.17,139.38,138.46,139.01,14150742
3/12/2021 16:00:00,136.4,136.46,135.65,136.06,20402701
3/15/2021 16:00:00,136.49,137.09,136.41,136.86,11366662
3/16/2021 16:00:00,137.02,137.12,135.75,136.31,15567907
3/17/2021 16:00:00,135.15,135.53,134.15,135.29,27107490
3/18/2021 16:00:00,133.31,134.47,133.19,133.92,21622014
3/19/2021 16:00:00,134.08,134.83,133.8,134.75,18684950
3/22/2021 16:00:00,135.69,136.41,135.37,136.26,17047525
3/23/2021 16:00:00,136.59,137.54,136.15,137.49,16768448
3/24/2021 16:00:00,137.06,138.28,136.95,138.23,13862975
3/25/2021 16:00:00,138.39,138.66,137.09,137.14,20781964
3/26/2021 16:00:00,136.42,137.24,136.22,136.66,8433292
3/29/2021 16:00:00,136.83,136.85,134.97,135.5,13968084
3/30/2021 16:00:00,135.3,136.51,135.01,136.21,15020777
3/31/2021 16:00:00,136.34,136.59,134.98,135.45,19271281
4/1/2021 16:00:00,136.55,137.62,136.3,137.51,14885947
4/5/2021 16:00:00,136.55,136.97,135.94,136.91,8242978
4/6/2021 16:00:00,137.16,137.98,137.01,137.84,9282395
4/7/2021 16:00:00,137.45,138.1,136.88,136.88,11052827
4/8/2021 16:00:00,137.39,138.07,137.36,138.01,7847918
4/9/2021 16:00:00,137.5,138.19,137.09,137.51,8717951
4/12/2021 16:00:00,137.46,137.53,137.1,137.45,7658990
4/13/2021 16:00:00,137.3,138.51,137.2,138.48,13232786
4/14/2021 16:00:00,138.03,138.24,137.57,138.04,7293169
4/15/2021 16:00:00,139.49,140.98,139.46,140.35,23896725
4/16/2021 16:00:00,139.1,139.73,138.93,139.26,15238401
4/19/2021 16:00:00,138.74,139.31,138.55,138.86,13886874
4/20/2021 16:00:00,138.45,139.76,138.43,139.5,11476489
4/21/2021 16:00:00,139.54,139.91,139.07,139.78,11902155
4/22/2021 16:00:00,140,140.39,139.2,140.39,14156678
4/23/2021 16:00:00,140.38,140.47,139.49,140.06,12302248
